5,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4210_検討会,20160122_CP内部レビュー6,IoTトライアルパックアンケート項目(終了時)20160121.xlsx,,,,,,,,,,,,,,,135858,135858,135858
8,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4220_ドキュメント,4224_Connected Vehicle,4224-08_販売推進,フロント説明会,20160329_西日本向け説明会,【フロント説明会 西営向け最終】_Connected Vehicle_20160329_v1.0.pptx,,,,,,,,,,,,0,0,7534375,7534375,7534375
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,【提案活動状況】hitoe20150721.pptx,,,,,,,,,,,,,,,,98743,98743,98743,98743,98743
7,Y:,4000_プロジェクト,4400_市場調査,アクセンチュア,03_契約関連,06_目標価格設定,02_ベンダ回答工数,プロ部より不要の旨連絡あり.txt,,,,,,,,,,,,,0,0,0,0,0
7,Y:,9000_参考資料,9110_参考資料,IVI_大竹麺機実験_20160212,三菱電機によるシーケンサーデータ,02　低速運転（異常メタル空運転）,LOG01,AD011006.CSV,,,,,,,,,,,,,0,60124,60124,60124,60124
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4220_ドキュメント,4223_Connected Product,4223-03_申込書,IoTトライアルパック(Connected Product)　新規申込書20160229.xlsx,,,,,,,,,,,,,,0,87523,87523,87523,87523
3,Y:,0000_プロジェクト管理,0300_勤務管理,★勤務管理の運用ルールについて_201508.txt,,,,,,,,,,,,,,,,,584,584,584,584,584
5,Y:,5000_プロモーション,5200_展示会・講演,2015年度,20151105_第27回クラウド・エヌ勉強会,20151105_第27回クラウド・エヌ勉強会_堀越_最終.pptx,,,,,,,,,,,,,,,0,0,0,9575749,9575749
5,Y:,3000_メンバ作業用,阿佐美,C.Product調達関連,EnterpriseMail,ドメイン取得.ppt,,,,,,,,,,,,,,,128512,128512,128512,128512,128512
7,Y:,4000_プロジェクト,4400_市場調査,ICS研究所（VEC）,納品物,01_2015年11月～12月分,01_ユースケース(24ケース),ビッグデータユースケース②　B　生産する製品のエネルギーコストと現場改善.docx,,,,,,,,,,,,,0,0,15147,15147,15147
5,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4240_技術検証,進捗系,技術T進捗報告_20151119.pptx,,,,,,,,,,,,,,,75576,75576,75576,75576,75576
6,Y:,4000_プロジェクト,4300_Step1商用開発,4310_検討会,20160407_商用サービス仕様13(照会),old,IoTプラットフォーム_サービス仕様サマリ_20160404-0930.pptx,,,,,,,,,,,,,,0,0,173428,173428,173428
6,Y:,3000_メンバ作業用,阿佐美,C.Product調達関連,UNO,申込書_3ロット目,アドレス事前払い出し依頼書_018.xls,,,,,,,,,,,,,,0,0,447488,447488,447488
5,Y:,1000_幹部・定例会議,1400_TF定例会,20151222_第17回,[資料3-1_IoT推進室]トライアルパック(CP)文書,04_IoTトライアルパック(Connected Product)　新規申込書(ハンコなし版).xlsx - ショートカット.lnk,,,,,,,,,,,,,,,3673,3673
5,Y:,5000_プロモーション,5200_展示会・講演,20151008-09_Comフォーラム,セミナーアンケート結果,2-1阿部「IoTのはじめ方」【Forum2015_ICTセミナー聴講者数・アンケート結果】.pptx,,,,,,,,,,,,,,,68847,68847,68847
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4220_ドキュメント,4224_Connected Vehicle,4224-00_SmartValue資料,[05] 提案資料.pptx,,,,,,,,,,,,,,0,0,13580578,13580578,13580578
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4210_検討会,2015Q2,20150826_サビ戦DAY2,IoTプラットフォームPoC環境メニュー案.pptx,,,,,,,,,,,,,,335081,335081,335081,335081,335081
5,Y:,3000_メンバ作業用,阿佐美,C.Product調達関連,ECL申込書類,ECL申込書類,,,,,,,,,,,,,,,6127084,6127084
3,Y:,7000_パートナー管理,ユビキタス,FW 出資案件の件.msg,,,,,,,,,,,,,,,,,0,1443328,1443328,1443328,1443328
7,Y:,4000_プロジェクト,4400_市場調査,ICS研究所（VEC）,納品物,02_2016年2月～3月分,関連資料,経済産業省の模倣品調査報告.pdf,,,,,,,,,,,,,0,0,232570,232570,232570
7,Y:,0000_プロジェクト管理,0500_庶務,海外出張手配,20160217_アメリカ出張,01_事前申請,03_佐藤さん,佐藤 晃一_外国旅費事前申請.pdf,,,,,,,,,,,,,0,157310,157310,157310,157310
9,Y:,4000_プロジェクト,4300_Step1商用開発,4330_ドキュメント,4330-07_MSS(WideAngle対応)&API,参考資料,暗号危殆化対策マニュアル(対策手引き)v1.4,技術資料,暗号危殆化対策範囲,205_暗号危殆化対策範囲の切り分けフロー（例）_20130426.pdf,,,,,,,,,,,0,0,0,497699,497699
4,Y:,4000_プロジェクト,4400_市場調査,201503_P&E 最終報告資料（最終）,Contact List.xlsx,,,,,,,,,,,,,,,,40258,40258
4,Y:,7000_パートナー管理,001_Schneider,資料from シュナイダー,Citectユーザー登録書【Industry有】.doc.zip,,,,,,,,,,,,,,,,8061,8061,8061
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4210_検討会,2015Q3,20151209_CP内部レビュー２,【作成中】(Connected Product)販売マニュアル_ver0.1.pptx,,,,,,,,,,,,,,1340938,1340938,1340938,1340938,1340938
7,Y:,4000_プロジェクト,4400_市場調査,アクセンチュア,03_契約関連,02_契約書,old,o_151112アクセンチュアから,,,,,,,,,,,,,145408,384000,384000,384000,384000
7,Y:,4000_プロジェクト,4400_市場調査,アクセンチュア,30_2016年2月～3月契約,80_打ち合わせ,160115_打ち合わせ(w／アクセンチュアデジタル),Accenture Digitalからの会社紹介資料.pdf,,,,,,,,,,,,,1771574,1771574,1771574,1771574,1771574
4,Y:,3000_メンバ作業用,阿佐美,MMCloud商用検討,構成検討_20160415.pptx,,,,,,,,,,,,,,,,0,0,302130
5,Y:,5000_プロモーション,5200_展示会・講演,2015年度,20151029_Gartner ITxpo2015,26BRアンケート結果.pdf,,,,,,,,,,,,,,,0,0,0,6603227,6603227
5,Y:,0000_プロジェクト管理,0300_勤務管理,360時間超え協議,松岡,（別紙2）年間時間外勤務等協議書（松岡）.xls,,,,,,,,,,,,,,,79872,79872,79872,79872,79872
5,Y:,1000_幹部・定例会議,1300_幹部会議,★会議の決まりごと,幹部MI推進会議,201408幹部会議案内.ppt,,,,,,,,,,,,,,,597504,597504,597504,597504,597504
6,Y:,3000_メンバ作業用,阿佐美,C.Product調達関連,ECL申込書類,CL部代行,IoTトライアルDC_新設5.xlsm,,,,,,,,,,,,,,797138,797138
5,Y:,0000_プロジェクト管理,0600_内部定例,0620_定例資料,20151005,情報共有事項(金丸翔).txt,,,,,,,,,,,,,,,514,514,514,514,514
2,Y:,7000_パートナー管理,萩原電気,,,,,,,,,,,,,,,,,,0,0,1785,10422548,10422548
5,Y:,9000_参考資料,9200_他社サービス・製品情報,Cumulocity(マイクロテクノロジー),20160122_CUMoNoSUハンズオン,20160122_CUMoNoSUハンズオンメモ.txt,,,,,,,,,,,,,,,5470,5470,5470,5470,5470
3,Y:,1000_幹部・定例会議,1400_TF定例会,2015年度,,,,,,,,,,,,,,,,,0,0,169226765,169226765,169246733
7,Y:,4000_プロジェクト,4400_市場調査,アクセンチュア,30_2016年2月～3月契約,34_動画関連まとめ,03_ストーリ重視,日本語字幕なし,,,,,,,,,,,,,0,0,471890056,0,0
5,Y:,6000_案件管理,6200_ユーザー案件,08_内田洋行,20151127_内田洋行訪問,20151130設備とICTの融合.pdf,,,,,,,,,,,,,,,458292,458292,458292,458292,458292
5,Y:,0000_プロジェクト管理,0300_勤務管理,360時間超え協議,谷川,（別紙2）年間時間外勤務等協議書（谷川）.xls,,,,,,,,,,,,,,,73728,73728,73728,73728,73728
3,Y:,7000_パートナー管理,003_JTエンジニアリング,20160118_JTE,,,,,,,,,,,,,,,,,1687442,1687442,1687442,1687442,1687442
4,Y:,0000_プロジェクト管理,0100_スケジュール・課題とタスクの進捗管理,old,幹部会議付議に向けたスケジュール(マスタースケジュールから抜粋).pptx,,,,,,,,,,,,,,,,170979,170979,170979,170979,170979
4,Y:,5000_プロモーション,5800_公式ホームページ,06.お問い合わせフォーム試験,【別紙4】問合せ通知メール配信宛先に自組織を指定していない場合の問合せ内容確認方法.pptx,,,,,,,,,,,,,,,,0,0,627627,627627,627627
6,Y:,3000_メンバ作業用,有沢,01_案件管理表,99_案件表のBkup,2015-09,150902-1300_IoT案件情報リスト.xlsx,,,,,,,,,,,,,,274595,274595,274595,274595,274595
3,Y:,7000_パートナー管理,004_安川情報システム,999_安川資料,,,,,,,,,,,,,,,,,0,0,12770645,12770645,12770645
6,Y:,1000_幹部・定例会議,1300_幹部会議,20160229_幹部会議(開発判断),参考資料,収益規模算出,収益計算の単金設定.pptx,,,,,,,,,,,,,,0,95410,95410,95410,95410
6,Y:,0000_プロジェクト管理,0500_庶務,海外出張手配,20160525_タイ出張,コムタイ打合せ,20160427_NTTS_Presentation.pdf,,,,,,,,,,,,,,0,0,0,1806930,1806930
3,Y:,9000_参考資料,9100_記事・調査資料,20140110 【資料】Current Analysis 各種リポート,,,,,,,,,,,,,,,,,1206864,1206864,1206864,1206864,1206864
